model,accuracy,balanced_accuracy,macro_f1,weighted_f1,fit_seconds,predict_seconds,best_parameters
Random Forest,0.906,0.8580729906152008,0.8531389870550176,0.9057276136978436,23.04537454200181,0.5868890829951852,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}"
XGBoost,0.9289583333333333,0.8700816087661577,0.8865734853103643,0.9284378472482231,32.412504500003706,0.5456688749982277,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.15, ""max_depth"": 10, ""n_estimators"": 250, ""subsample"": 0.9}"
