model,params,std_test_score,mean_train_score,rank_test_score,cv_rmse
Ridge Regression,"{""alpha"": 1.0}",21076.310874483694,-55108.28008025516,2,108721.6258336157
Ridge Regression,"{""alpha"": 10.0}",26865.80026051611,-57364.74178625366,1,100837.24803837364
Ridge Regression,"{""alpha"": 100.0}",51309.684947206624,-67566.80587925069,3,140803.23663284557
Random Forest,"{""max_depth"": 12, ""min_samples_leaf"": 2}",68481.54754421522,-27920.188815258512,2,116028.47810067533
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 2}",68146.77309514396,-27287.159080856723,1,115893.30633638786
XGBoost,"{""max_depth"": 3, ""n_estimators"": 300}",65768.2331213463,-35924.427286493876,2,118164.22284968758
XGBoost,"{""max_depth"": 3, ""n_estimators"": 500}",64505.48450592539,-28828.493293425126,1,117849.55605698978
XGBoost,"{""max_depth"": 6, ""n_estimators"": 300}",68689.72803430592,-10737.309650920148,4,119443.98683347223
XGBoost,"{""max_depth"": 6, ""n_estimators"": 500}",68614.76174342692,-6266.454581047098,3,119380.30467562028
