model,mae,rmse,r2,mape_percent,wmape_percent,cv_rmse,fit_seconds,best_parameters
Random Forest,39964.82706717167,65174.437607150234,0.9848965044667091,3.8982210061522173,3.8590782913555297,115893.30633638786,227.4406955000013,"{""max_depth"": null, ""min_samples_leaf"": 2}"
XGBoost,42175.95070347222,65350.05133872594,0.9848150015108526,4.190235065383943,4.07258851648446,117849.55605698978,133.87047499999608,"{""max_depth"": 3, ""n_estimators"": 500}"
Ridge Regression,52105.14468097452,71897.6868408346,0.9816196946069178,5.645205817569574,5.0313700186497075,100837.24803837364,6.668389124999521,"{""alpha"": 10.0}"
Seasonal Naive (52-week lag),53465.42842222222,84106.06409599175,0.9748477114611874,5.462116952221351,5.162721555517608,,0.0,{}
