feature,importance,importance_std
chroma_stft_mean,0.02799999999999994,0.01899999999999998
mfcc9_mean,0.02399999999999992,0.009949874371066193
perceptr_var,0.011999999999999966,0.00899999999999996
mfcc12_mean,0.01124999999999996,0.00819679815537746
chroma_stft_var,0.010499999999999959,0.009340770846134662
mfcc3_mean,0.009499999999999975,0.004444097208657757
mfcc17_mean,0.009499999999999963,0.007399324293474334
mfcc18_var,0.008999999999999963,0.007348469228349497
mfcc16_var,0.0062500000000000056,0.0031124748994971856
mfcc6_mean,0.005999999999999989,0.009027735042633874
mfcc20_mean,0.005499999999999994,0.007228416147400472
harmony_mean,0.0052499999999999995,0.004023369234857761
mfcc11_mean,0.004749999999999999,0.005356071321407131
mfcc5_mean,0.004499999999999993,0.005678908345800258
perceptr_mean,0.002250000000000002,0.00432290411644765
mfcc12_var,0.0020000000000000018,0.0033166247903554024
spectral_centroid_mean,0.0017500000000000016,0.005068283733178327
mfcc19_var,0.0012499999999999955,0.006495190528383284
mfcc14_var,0.0007500000000000007,0.00530919014539883
mfcc10_var,0.0007499999999999951,0.00794905654779232
mfcc5_var,0.0007499999999999951,0.008407585860400113
mfcc16_mean,0.0,0.005244044240850763
mfcc6_var,0.0,0.008062257748298558
mfcc2_mean,-5.551115123125783e-18,0.008366600265340753
mfcc14_mean,-5.551115123125783e-18,0.00570087712549568
mfcc8_mean,-0.00025000000000000575,0.006015604707757973
mfcc4_mean,-0.0007500000000000062,0.00939081998549647
rms_var,-0.0007500000000000062,0.009908960591303202
mfcc7_var,-0.0007500000000000062,0.00794905654779232
mfcc3_var,-0.0007500000000000117,0.008407585860400104
mfcc4_var,-0.0010000000000000009,0.006442049363362568
mfcc13_mean,-0.0010000000000000065,0.006819090848492921
mfcc17_var,-0.0012500000000000011,0.0021650635094610984
zero_crossing_rate_var,-0.0015000000000000013,0.004769696007084733
mfcc7_mean,-0.0015000000000000013,0.005722761571129804
rolloff_mean,-0.0020000000000000074,0.006964194138592053
mfcc19_mean,-0.002250000000000002,0.005804093383121955
mfcc18_mean,-0.002250000000000002,0.005804093383121955
mfcc15_mean,-0.002250000000000002,0.005584576975922174
mfcc20_var,-0.002250000000000002,0.007154544010627099
mfcc13_var,-0.0030000000000000027,0.007141428428542858
tempo,-0.0040000000000000036,0.005385164807134508
mfcc15_var,-0.0040000000000000036,0.0037416573867739447
mfcc10_mean,-0.0050000000000000044,0.0035355339059327407
harmony_var,-0.0050000000000000044,0.008803408430829513
mfcc8_var,-0.005750000000000005,0.007292976072907417
zero_crossing_rate_mean,-0.006000000000000005,0.006041522986797292
mfcc2_var,-0.007000000000000006,0.005099019513592789
spectral_bandwidth_mean,-0.007000000000000006,0.010653637876331268
rms_mean,-0.0072500000000000064,0.006796138609534099
mfcc1_var,-0.008000000000000007,0.005567764362830027
mfcc1_mean,-0.008250000000000007,0.009390819985496483
spectral_bandwidth_var,-0.009000000000000008,0.00734846922834954
mfcc9_var,-0.009500000000000008,0.006304760106459251
mfcc11_var,-0.009750000000000009,0.0040233692348577745
spectral_centroid_var,-0.014250000000000013,0.009781998773256934
rolloff_var,-0.016000000000000014,0.007348469228349541
